"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"monterrey - pumas","500K+","May 4, 2025 at 6:40:00 PM UTC-6",,"monterrey - pumas,rayados vs pumas,monterrey vs pumas,pumas vs monterrey,monterrey vs. pumas,mty vs pumas,rayados,monterrey vs pumas unam,monterrey fc,pumas monterrey,donde ver monterrey vs pumas,monterrey vs pumas donde ver,monterrey vs pumas play in 2025,alineaciones de club de fútbol monterrey contra club universidad nacional,monterrey vs pumas en vivo,pumas vs. monterrey,juego de rayados,rayados hoy,stefan medina,monterrey,pumas vs monterrey donde ver,pumas vs monterrey en vivo,germán berterame,jorge ruvalcaba,partido pumas,partido monterrey vs pumas,lucas ocampos,rayados vs pumas donde ver,donde ver pumas vs monterrey hoy,pumas vs monterrey hoy,monterrey contra pumas,monterrey vs pumas dónde ver,a qué horas juega monterrey pumas,donde ver rayados vs pumas,club universidad nacional,berterame,partido pumas vs monterrey,pumas vs rayados,a qué hora juega monterrey pumas,monterrey vs pumas hoy,monterrey pumas,ruvalcaba,marcador monterrey pumas,club de fútbol monterrey contra club universidad nacional,futbol liga mx,resultado monterrey pumas,juego rayados,unam vs monterrey,liguilla mx","https://trends.google.com/trends/explore?q=monterrey%20-%20pumas&geo=MX&hl=en-US"
"genoa - milan","200K+","May 5, 2025 at 12:00:00 PM UTC-6",,"genoa - milan,genoa","https://trends.google.com/trends/explore?q=genoa%20-%20milan&geo=MX&hl=en-US"
"calendario de pagos bienestar mayo 2025","100K+","April 30, 2025 at 6:10:00 PM UTC-6",,"calendario de pagos bienestar mayo 2025,pago de bienestar mayo 2025,bienestar mayo 2025,secretaria del bienestar,5 de mayo,pension bienestar mayo 2025,pensión bienestar adultos mayores,pago bienestar adultos mayores mayo 2025,bienestar,calendario de pagos bienestar,banco del bienestar,calendario bienestar mayo 2025,se trabaja el 5 de mayo 2025,pago bienestar mayo 2025,calendario mayo 2025,deposito bienestar mayo 2025,pago bienestar mayo,pago pensión bienestar adultos mayores","https://trends.google.com/trends/explore?q=calendario%20de%20pagos%20bienestar%20mayo%202025&geo=MX&hl=en-US"
"met gala 2025","50K+","May 3, 2025 at 2:50:00 PM UTC-6",,"met gala 2025,met gala","https://trends.google.com/trends/explore?q=met%20gala%202025&geo=MX&hl=en-US"
"bad bunny","50K+","May 4, 2025 at 11:00:00 AM UTC-6",,"bad bunny,bad bunny mexico,bad bunny tour 2025,ticketmaster,estadio gnp,boletos bad bunny mexico 2025,estadio gnp seguros,estadio gnp seguros cdmx,boletos bad bunny,bad bunny estadio gnp,ticketmaster mexico,bad bunny estadio gnp boletos,debi tirar mas fotos,bad bunny cdmx,gnp estadio,bad bunny mexico 2025,gnp seguros","https://trends.google.com/trends/explore?q=bad%20bunny&geo=MX&hl=en-US"
"batalla de puebla","50K+","May 5, 2025 at 7:50:00 AM UTC-6",,"batalla de puebla,batalla de puebla 5 de mayo,la batalla de puebla,5 de mayo batalla de puebla,5 de mayo es festivo,el 5 de mayo es feriado,desfile 5 de mayo puebla 2025,el 5 de mayo es festivo,desfile 5 de mayo,desfile 5 de mayo puebla,a que hora empieza el desfile del 5 de mayo en puebla,es festivo el 5 de mayo,5 mayo es festivo,que se celebra hoy 5 de mayo,desfile 5 de mayo puebla 2025 en vivo,5 de mayo es feriado,la batalla de puebla 5 de mayo,5 mayo que se celebra,a que hora es el desfile del 5 de mayo en puebla","https://trends.google.com/trends/explore?q=batalla%20de%20puebla&geo=MX&hl=en-US"
"américa - guadalajara","200K+","May 5, 2025 at 11:10:00 AM UTC-6",,"américa - guadalajara,america vs chivas femenil,chivas vs america femenil,america vs chivas,liga mx femenil,america femenil,chivas femenil,américa vs chivas femenil,chivas vs america,liga femenil,club américa femenil,américa vs. guadalajara,final femenil liga mx,america chivas femenil,américa vs chivas,américa femenil,chivas vs américa femenil,chivas america femenil,america femenil vs chivas,america femenil vs,charlyn corral,guadalajara vs. américa,club america femenil,futbol femenil,america vs chivas femenil donde ver,liga femenil mx,semifinales liga mx femenil,donde ver chivas vs america femenil,partidos de liga mx femenil,guadalajara vs. américa femenil,chivas femenil vs,kiana palacios,chivas femenil vs america,chivas vs américa femenil en vivo,chivas femenil contra club américa femenil,chivas vs america femenil donde ver,chivas américa femenil,chivas vs america femenil resultado,chivas america","https://trends.google.com/trends/explore?q=am%C3%A9rica%20-%20guadalajara&geo=MX&hl=en-US"
"tematica met gala 2025","20K+","May 5, 2025 at 3:20:00 PM UTC-6",,"tematica met gala 2025,met gala 2025 tema,dandismo negro,tema met gala 2025,dandismo,donde ver la met gala 2025,tema de la met gala 2025,a que hora es la met gala 2025,met gala 2025 donde ver,cuando es la met gala 2025,cual es el tema de la met gala 2025,tema del met gala 2025,met gala anfitriones,met gala 2025 horario mexico,met gala tema 2025,met gala 2025 invitados,met gala 2025 tematica,met gala 2025 horario,met gala donde ver,donde ver met gala 2025,a que hora empieza la met gala 2025,donde ver la met gala,a que hora es la met gala 2025 en mexico","https://trends.google.com/trends/explore?q=tematica%20met%20gala%202025&geo=MX&hl=en-US"
"girona - r.c.d. mallorca","20K+","May 5, 2025 at 12:10:00 PM UTC-6",,"girona - r.c.d. mallorca,girona vs mallorca,mallorca fc,mallorca vs,girona vs. r.c.d. mallorca,mallorca vs girona","https://trends.google.com/trends/explore?q=girona%20-%20r.c.d.%20mallorca&geo=MX&hl=en-US"
"araña violinista","20K+","April 29, 2025 at 11:00:00 PM UTC-6",,"araña violinista","https://trends.google.com/trends/explore?q=ara%C3%B1a%20violinista&geo=MX&hl=en-US"
