"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"you season 5 cast","100K+","April 24, 2025 at 1:50:00 AM UTC-6",,"you season 5 cast,you,joe goldberg,you cast,you netflix,you cast season 5,you season 4,you show,what time does you season 5 release,when does you season 5 come out,you season 5 netflix,what time does you season 5 come out,what time does you come out on netflix","https://trends.google.com/trends/explore?q=you%20season%205%20cast&geo=US&hl=en"
"mckenna grace","50K+","April 24, 2025 at 10:30:00 AM UTC-6",,"mckenna grace,haymitch hunger games","https://trends.google.com/trends/explore?q=mckenna%20grace&geo=US&hl=en"
"russell wilson","20K+","April 24, 2025 at 6:20:00 AM UTC-6",,"russell wilson","https://trends.google.com/trends/explore?q=russell%20wilson&geo=US&hl=en"
"is netflix down","20K+","April 24, 2025 at 1:50:00 PM UTC-6",,"is netflix down,netflix outage,netflix down,is netflix down right now,netflix not working","https://trends.google.com/trends/explore?q=is%20netflix%20down&geo=US&hl=en"
"lar park lincoln","10K+","April 24, 2025 at 3:10:00 PM UTC-6",,"lar park lincoln","https://trends.google.com/trends/explore?q=lar%20park%20lincoln&geo=US&hl=en"
"lulu roman","10K+","April 24, 2025 at 10:00:00 AM UTC-6",,"lulu roman","https://trends.google.com/trends/explore?q=lulu%20roman&geo=US&hl=en"
"youtube tv","20K+","April 24, 2025 at 5:30:00 PM UTC-6",,"youtube tv,youtubetv,the tv app,tv app,you tube tv","https://trends.google.com/trends/explore?q=youtube%20tv&geo=US&hl=en"
"revenge of the sith","20K+","April 23, 2025 at 9:40:00 PM UTC-6",,"revenge of the sith","https://trends.google.com/trends/explore?q=revenge%20of%20the%20sith&geo=US&hl=en"
"elsbeth","5K+","April 24, 2025 at 7:00:00 PM UTC-6",,"elsbeth,michael emerson,carrie preston,elsbeth episodes,elsbeth season finale,elsbeth season 2","https://trends.google.com/trends/explore?q=elsbeth&geo=US&hl=en"
"bon iver","5K+","April 24, 2025 at 3:30:00 PM UTC-6",,"bon iver","https://trends.google.com/trends/explore?q=bon%20iver&geo=US&hl=en"
"accountant 2","20K+","April 24, 2025 at 4:00:00 PM UTC-6",,"accountant 2,the accountant 2","https://trends.google.com/trends/explore?q=accountant%202&geo=US&hl=en"
"kent state","2K+","April 24, 2025 at 4:50:00 PM UTC-6",,"kent state","https://trends.google.com/trends/explore?q=kent%20state&geo=US&hl=en"
"lil wayne","10K+","April 24, 2025 at 6:00:00 PM UTC-6",,"lil wayne","https://trends.google.com/trends/explore?q=lil%20wayne&geo=US&hl=en"
"carol burnett","2K+","April 24, 2025 at 5:40:00 PM UTC-6",,"carol burnett,jean smart","https://trends.google.com/trends/explore?q=carol%20burnett&geo=US&hl=en"
"madeline brewer","5K+","April 24, 2025 at 3:40:00 AM UTC-6",,"madeline brewer","https://trends.google.com/trends/explore?q=madeline%20brewer&geo=US&hl=en"
"star wars episode 3","5K+","April 23, 2025 at 9:50:00 PM UTC-6",,"star wars episode 3","https://trends.google.com/trends/explore?q=star%20wars%20episode%203&geo=US&hl=en"
"what was that lyrics lorde","10K+","April 23, 2025 at 10:00:00 PM UTC-6",,"what was that lyrics lorde,lorde,what was that lorde lyrics,what was that lyrics,lorde what was that lyrics","https://trends.google.com/trends/explore?q=what%20was%20that%20lyrics%20lorde&geo=US&hl=en"
