"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"us teacher appreciation day 2025","1M+","May 5, 2025 at 10:00:00 PM UTC-6",,"us teacher appreciation day 2025,teacher appreciation week,teachers appreciation week,teacher appreciation,chick fil a teacher appreciation 2025,whataburger teacher appreciation,mcdonald's teacher appreciation 2025,teachers day,teachers appreciation week discounts,national teachers day,mcdonald's teacher appreciation,chipotle teacher appreciation 2025","https://trends.google.com/trends/explore?q=us%20teacher%20appreciation%20day%202025&geo=US&hl=en-US"
"met gala theme 2025","2M+","May 2, 2025 at 3:40:00 PM UTC-6",,"met gala theme 2025,met gala,met gala 2025,met gala theme,met gala 2025 theme,what is the met gala,dandyism,2025 met gala theme,met gala 2025 outfits,met gala looks,zendaya met gala 2025,what was the met gala theme 2025,diana ross met gala 2025,2025 met gala,anna wintour,vogue met gala 2025,what is met gala,met gala looks 2025,the met gala 2025,met gala outfits,theme of met gala 2025,met gala 2025 looks,what was the theme of the met gala 2025,pharrell williams,what was the met gala theme,best dressed met gala 2025,best met gala looks 2025,when is the met gala 2025,2025 met gala looks,what is the met gala theme this year,black dandy,met gala red carpet,when is the met gala,where to watch met gala 2025,metgala,kardashians met gala 2025,the met gala,dandy,met gala live,what time does the met gala start,met theme 2025,what is the theme of the met gala 2025,best met gala looks,the met,met gala 2025 time,when is met gala 2025,what time is the met gala 2025,what is the met gala theme 2025,met gala outfits 2025,met gala 2025 where to watch,what channel is the met gala on,when does the met gala start,met,vogue met gala,where can i watch the met gala,met gala 2025 guest list,how to watch met gala 2025,getty images,what time is the met gala,metropolitan museum of art,where is the met gala held,met gala best dressed,met gala live stream 2025,where to watch the met gala,where to watch the met gala 2025,what was met gala theme 2025,theme for met gala 2025,met gala time,where to watch met gala,met gala live stream,superfine tailoring black style,how to watch the met gala,what's the met gala theme,met gala streaming,what is the met gala theme,met gala.theme 2025,met gala where to watch,met gala after party 2025,met theme,where can i watch the met gala 2025,what is met gala 2025 theme,met gala 2025 live stream,met gala photos,what happens at the met gala,met gala 2025 red carpet,lauryn hill met gala 2025,watch met gala 2025,met gala 2025 live,met gala channel,met.gala 2025,kerry washington,met gala red carpet time,what is this years met gala theme,met gala 2025 rihanna,demi moore met gala 2025,is the met gala televised,how to watch met gala,met gala start time,what is the 2025 met gala theme,what time does met gala start,met gala red carpet 2025,colman domingo,how to watch the met gala 2025,people magazine,when does met gala red carpet start,met gala coverage,vogue met gala livestream,colman domingo met gala,met gala coverage 2025,met gala livestream,when does met gala start,watch met gala,where to watch met gala red carpet,miley cyrus met gala,how long is the met gala,2025,what's the theme of the met gala 2025,vogue met gala live stream,vogue live stream met gala,kim met gala 2025,met gala 2025 vogue,met gala theme 2024,us weekly,met 2025 theme,love,what channel is the met gala on tonight,what is the theme for the met gala 2025,where is the met gala held 2025,met gala.theme,met gala arrivals,valentino,when does the met gala end,what time is met gala 2025,what channel is met gala on,met gala 2025 streaming","https://trends.google.com/trends/explore?q=met%20gala%20theme%202025&geo=US&hl=en-US"
"rihanna","200K+","May 5, 2025 at 4:00:00 PM UTC-6",,"rihanna,rihanna pregnant,rihanna met gala 2025,asap rocky,is rihanna pregnant again,rihanna kids,how old is rihanna,rihanna met gala,rhianna,rihanna pregnant 2025,is rihanna pregnant,rihanna children,asap rocky met gala,baby,asap rocky met gala 2025,today","https://trends.google.com/trends/explore?q=rihanna&geo=US&hl=en-US"
"nuggets vs thunder","500K+","May 5, 2025 at 1:50:00 PM UTC-6",,"nuggets vs thunder,okc vs nuggets,thunder vs nuggets,denver nuggets vs okc thunder,aaron gordon,okc thunder,nuggets,shai gilgeous-alexander,denver nuggets vs okc thunder match player stats,nikola jokić,okc,thunder,nikola jokic,denver nuggets,jokic,nba mvp,oklahoma city thunder,nuggets vs okc,nuggets thunder,sga,nuggets game,denver vs okc,thunder game,shai gilgeous-alexander stats,nba mvp 2025,nuggets score,okc thunder vs denver nuggets,luguentz dort,nuggets - thunder,david adelman,jokic stats,where to watch okc thunder vs denver nuggets,okc thunder games,thunder nuggets,denver nuggets games,okc thunder vs denver nuggets match player stats,nba basketball,where to watch denver nuggets vs okc thunder,nuggets game tonight,okc vs denver,thunder okc,den vs okc,denver nuggets vs okc thunder timeline,thunder game tonight,okc game,nikola jokic stats,okc roster,oklahoma city,lu dort,nuggets okc,okc thunder vs denver nuggets timeline,nuggets vs,nba game,yahoo sports,okc denver,okc nuggets,nba score,sga nba,okc score,denver okc,espn nba scores,nuggets vs thunder prediction,david adelman nuggets,drew gordon,okc vs,nuggets head coach,nba.com,gordon nuggets,okc vs den,denver nuggets head coach,nuggets vs thunder box score,denver nuggets score,wilt chamberlain,nuggets game today,nuggets thunder box score,nuggets coach","https://trends.google.com/trends/explore?q=nuggets%20vs%20thunder&geo=US&hl=en-US"
"alcatraz","200K+","May 4, 2025 at 5:00:00 PM UTC-6",,"alcatraz,alcatraz prison,trump alcatraz,al capone,alcatraz reopening,escape from alcatraz,why was alcatraz closed,why did alcatraz close,when did alcatraz close,alcatraz trump,truth social,reopen alcatraz,trump opening alcatraz,trump reopen alcatraz,trump reopening alcatraz","https://trends.google.com/trends/explore?q=alcatraz&geo=US&hl=en-US"
"knicks vs celtics","1M+","May 4, 2025 at 9:00:00 PM UTC-6",,"knicks vs celtics,celtics vs knicks,celtics,og anunoby,knicks,boston celtics,knicks celtics,mikal bridges,celtics game,ny knicks,knicks vs boston celtics match player stats,celtics knicks,jalen brunson,josh hart,derrick white,knicks vs boston celtics,karl-anthony towns,jaylen brown,celtics score,karl anthony towns,new york knicks,jayson tatum,knicks score,where to watch boston celtics vs knicks,knicks games,boston celtics vs knicks,knicks game,celtics game tonight,boston celtics games,where to watch knicks vs boston celtics,jalen brunson stats,nyk,knicks schedule,boston vs knicks,knicks - celtics,brunson,boston celtics vs knicks match player stats,knicks vs boston celtics timeline,joe mazzulla,espn nba,knicks game today,knicks vs celtics score,tatum,boston celtics vs knicks timeline,knicks vs celtics prediction,brunson stats,nyk vs boston,jason tatum,knicks vs boston,celtics game today,knicks vs,knicks tickets,celtics vs knicks score,celtics vs,knicks news,nba stats,knicks win,nyknicks,bos vs nyk,bridges knicks,celtics vs knicks prediction,knicks vs boston celtics stats,brunson knicks,celtics box score,anunoby,knicks vs celtics last game,jalen brunson vs celtics,knicks celtics schedule,what channel is the celtics game on tonight,nba starting lineups,nba espn,ny knicks vs celtics,epic!,kat,who do the celtics play next,knicks playoff schedule","https://trends.google.com/trends/explore?q=knicks%20vs%20celtics&geo=US&hl=en-US"
"rodney hinton","200K+","May 3, 2025 at 3:50:00 PM UTC-6",,"rodney hinton,ryan hinton,cincinnati weather","https://trends.google.com/trends/explore?q=rodney%20hinton&geo=US&hl=en-US"
"four seasons netflix","500K+","May 1, 2025 at 3:20:00 AM UTC-6",,"four seasons netflix,four seasons,the four seasons netflix,alan alda,steve carell,will forte,colman domingo,4 seasons netflix,four seasons netflix cast,four seasons show,four seasons netflix review","https://trends.google.com/trends/explore?q=four%20seasons%20netflix&geo=US&hl=en-US"
"kentucky derby results","2M+","May 3, 2025 at 1:00:00 PM UTC-6",,"kentucky derby results,sovereignty,kentucky derby,sovereignty horse,who won the kentucky derby,derby,churchill downs,kentucky derby winner,preakness 2025,derby results,who won kentucky derby 2025,kentucky derby 2025 results,kentucky derby winners,junior alvarado,kentucky derby 2025 date and time,kentucky derby results 2025,derby winner 2025,derby winner,who won kentucky derby,bill mott,who owns sovereignty horse,kentucky derby 2025 results horses,kentucky,kentucky derby payout,godolphin,who won the derby,kentucky derby results today,sovereignty horse owner,churchill downs results,who won the kentucky derby today,triple crown,kentucky derby finish order,kentucky derby finish,derby results 2025,derby results today,derby winners,woodford reserve,kentucky derby payouts 2025,godolphin racing,churchill downs races today,junior alvarado jockey,journalism kentucky derby,derby day,preakness,umberto rispoli,sovereignty kentucky derby,kentucky derby final results,kentucky derby 2025 finishing order,sovereignty horse pedigree,churchill downs results today,preakness stakes,derby finish order,ky derby results,kentucky derby full results,kentucky derby standings,151st kentucky derby,kentucky derby horse names,who won the derby today,ky derby results 2025,derby finish,bob baffert horses 2025,bill mott kentucky derby,kentucky derby 2025 finish,results of kentucky derby,kentucky derby finish 2025,winners of kentucky derby,kentucky kentucky derby,how much does the winner of the kentucky derby get,sovereignty horse jockey,sovereignty jockey,kentucky derby replay,2025 derby results,who won derby,sovereignty odds kentucky derby,who won the kentucky derby 2024,kentucky derby order of finish 2025,journalism,derby payout,kentucky derby 2025 standings,junior alvarado wife,kentucky derby places,kentucky derby race results,kentucky derby 2025 horses results,kentucky derby order of finish,kentucky derby finishing order,kentucky derby standings 2025,kentucky derby result,kentucky derby final standings,who won the kentucky derby?,kentucky derby finish order 2025,kentuck derby,kentucky derby 2025 replay,kentucky derby 2025 full results,what number is journalism in the kentucky derby,kentucky derby jockeys,kentucky derby reaults,bill mott trainer,kentucky derby winnings,kentucky derby resukts,ky derby 2025 results,151 kentucky derby,kentucky derby sovereignty,kentucky derby replay 2025,who won kentucky derby 2024,what does the winner of the kentucky derby get,results kentucky derby today,jockey junior alvarado,horse numbers for kentucky derby 2025,kentucky derby 2025 final results,results of the kentucky derby,junior alvarado injury,kentucky derby record,derby order of finish,kentucky derby finishes,derby finishing positions,ky derby finish order,derby 2025 results,sovereignty horse trainer,kenticky derby,william mott,kentucky derby placing,kentucky kentucky derby results,ky derby winners,kentucky derby official results,kentucky derby finals,junior alvarado kentucky derby,derby final,sovereignty horse kentucky derby,final results kentucky derby today,kentucky derby 2025 sovereignty,kentucky derby order,bill mott horse trainer,2025 kentucky derby finish,kentucky derby finishing times,horse sovereignty,what time does the kentucky derby go off,last horse to win triple crown,kentucky derby 2025 finish order,how much does the kentucky derby jockey winner get,derby horse names,kentucky derby tesults,how fast do kentucky derby horses run,derby finals,full kentucky derby results,sovereignty kentucky derby odds,churchill downs race 13,when was the first kentucky derby,derby finish line,kentucky derby 2025 race results,what number is sovereignty in kentucky derby,derby final results,kentucky derby placings,kentucky derby final results 2025,kentucky derby 2025 order of finish,godolphin owner,kentucky derby tickets 2025,kentucky deeby results,who won the ky derby,kentucky derby finish line,kentucky derby unofficial results,kentucky derby record time,kentucky derby race results 2025,where is churchill downs in kentucky,7-1 odds payout,tickets to kentucky derby,derby standings,kentucky derby 2024 winner,results kentucky derby,2025 kentucky derby finishing order,final kentucky derby results,derby payouts win place show,final results of kentucky derby,kentucky derby horse numbers 2025,first kentucky derby,jockey,kentuck derby results,order of finish kentucky derby 2025,derby finish 2025,kentucky derby finishers,drf,2025 derby,kentucky derby outcome,espn kentucky derby,kentucky derby full results 2025,2025 kentucky derby final results,manuel franco jockey,final derby results,the preakness,2025 kentucky derby finish order,how tall is junior alvarado,owen almighty kentucky derby,kentucky derby win,how old is junior alvarado,jr alvarado,151st kentucky derby results,kentucky derby winner today,jockey for sovereignty,derby resukts,how fast do derby horses run,unofficial kentucky derby results,kentucky derby winner 2024,derby full results,kentucky derby resilts,kentucky derby bet payouts,ky derby finish,2025 kentucky derby order of finish,derby finish order 2025,kentucky results,kentucky derby finish results,derby jockeys,derby reaults,race 13 kentucky derby,151 kentucky derby results,derby finishes,how fast do the horses run in the kentucky derby,2024 derby winner","https://trends.google.com/trends/explore?q=kentucky%20derby%20results&geo=US&hl=en-US"
"justin tucker","200K+","May 5, 2025 at 2:50:00 PM UTC-6",,"justin tucker,justin tucker news,justin tucker wife,tyler loop,justin tucker released,justin tucker allegations,ravens,tucker,justin tucker allegations espn,what did justin tucker do,ravens release justin tucker,tucker ravens,ravens news,ravens release tucker,ravens kicker,justin ticker","https://trends.google.com/trends/explore?q=justin%20tucker&geo=US&hl=en-US"
